ID	NAME	KEGGID	KEGGMAP	SUBSYSTEM
r1120_c0	lipochitooligosaccharide_n5_16_0_c0			Amino sugar and nucleotide sugar metabolism
r1121_c0	lipochitooligosaccharide_n6_16_0_c0			Amino sugar and nucleotide sugar metabolism
r1122_c0	lipochitooligosaccharide_n3_16_1_c0			Amino sugar and nucleotide sugar metabolism
r1123_c0	lipochitooligosaccharide_n4_16_1_c0			Amino sugar and nucleotide sugar metabolism
r1124_c0	lipochitooligosaccharide_n5_16_1_c0			Amino sugar and nucleotide sugar metabolism
r1125_c0	lipochitooligosaccharide_n6_16_1_c0			Amino sugar and nucleotide sugar metabolism
r1126_c0	lipochitooligosaccharide_n3_18_0_c0			Amino sugar and nucleotide sugar metabolism
r1127_c0	lipochitooligosaccharide_n4_18_0_c0			Amino sugar and nucleotide sugar metabolism
r1128_c0	lipochitooligosaccharide_n5_18_0_c0			Amino sugar and nucleotide sugar metabolism
r1129_c0	lipochitooligosaccharide_n6_18_0_c0			Amino sugar and nucleotide sugar metabolism
r1130_c0	lipochitooligosaccharide_n3_18_1_d9_c0			Amino sugar and nucleotide sugar metabolism
r1131_c0	lipochitooligosaccharide_n4_18_1_d9_c0			Amino sugar and nucleotide sugar metabolism
r1132_c0	lipochitooligosaccharide_n5_18_1_d9_c0			Amino sugar and nucleotide sugar metabolism
r1133_c0	lipochitooligosaccharide_n6_18_1_d9_c0			Amino sugar and nucleotide sugar metabolism
r1526_r0	d_ribose_1_5_phosphomutase_c0	R01057	map00030|map00230	Carbohydrate metabolism
r1527_r0	2_deoxy_d_ribose_1_phosphate_1_5_phosphomutase_c0	R02749	map00030	Carbohydrate metabolism
r1593_c0_f	alanine_glyoxylate_aminotransferase_c0	R00369	map01100|map00250	Amino acid metabolism
r1603_m0_f	beta_alanine_aminotransferase_m0	R00908	map00410|map00640	Amino acid metabolism
r1640_r0	long_chain_fatty_acid_coa_ligase_stearate_r0	R00390	map00061	Lipid and fatty acid metabolism
r0012_c0_b	atp_d_ribose_5_phosphotransferase_c0	R01051	map00030	Carbohydrate metabolism
r0019_e0_b	inorganic_phosphate_transporter_ript1_4_e0			Transport
r0032_c0_b	atp_r_mevalonate_5_phosphotransferase_c0	R02245	map00900|map01110	Terpenoid backbone biosynthesis
r0043_r0_b	delta_7_sterol_5_6_desaturase_c0	R07505	map00100|map01100|map01130	Lipid and fatty acid metabolism
r0053_c0_b	adenosine_3_5_bisphosphate_3_phosphohydrolase_c0	R00188		Nucleotide metabolism
r0107_c0_b	gtp_7_8_8_9_dihydrolase_c0	R00424		Metabolism of cofactors and vitamins
r0172_c0_b	isopentenyl_diphosphate_delta3_delta2_isomerase_c0	R01123	map00900|map01110	Terpenoid backbone biosynthesis
r0208_c0_b	atp_nad_plus_2_phosphotransferase_c0	R00104	map00760	Metabolism of cofactors and vitamins
r0214_c0_b	5_phosphoribosylamine_diphosphate_phospho_alpha_d_ribosyltransferase_glutamate_amidating_c0	R01072	map00230|map00250|map01110	Nucleotide metabolism
r0217_c0_b	mevalonate_nadp_plus_oxidoreductase_coa_acylating_c0	R02082	map00900|map01110	Terpenoid backbone biosynthesis
r0228_m0_b	n2_acetyl_l_ornithine_2_oxoglutarate_aminotransferase_m0	R02283	map00330|map01110|map01210|map01230	Amino acid metabolism
r0263_c0_b	1_5_phospho_d_ribosyl_5_amino_4_imidazolecarboxylate_carboxy_lyase_c0	R04209	map00230|map01110	Nucleotide metabolism
r0299_c0_b	alpha_d_glucose_1_phosphate_1_6_phosphomutase_c0	R00959	map00010|map00052|map00500|map00520|map00521|map01110	Carbohydrate metabolism
r0405_c0_b	glycolaldehyde_nad_plus_oxidoreductase_c0	R01333	map00630	Carbohydrate metabolism
r0415_c0_b	2_5_diamino_6_ribitylamino_4_3h_pyrimidinone_5'_phosphate_deaminase_c0	R09377	map00740	Metabolism of cofactors and vitamins
r0601_c0_b	2_3_bisphosphoglycerate_independent_phosphoglycerate_mutase_c0	R01518	map00010|map00260|map00680|map01110|map01200|map01230	Carbohydrate metabolism
r0797_r0_b	delta_7_sterol_5_desaturase_r0			Lipid and fatty acid metabolism
r0817_c0_b	uridine_ribohydrolase_c0	R01080	map00240	Nucleotide metabolism
r0822_e0_b	d_glucose_transport_e0			Transport
r0824_e0_b	d_fructose_transport_e0			Transport
r0862_c0_b	g3p_transport_c0			Transport
r1075_c0_b	thymidylate_5_phosphohydrolase_c0	R01569	map00240	Nucleotide metabolism
r1593_c0_b	alanine_glyoxylate_aminotransferase_c0	R00369	map01100|map00250	Amino acid metabolism
r1603_m0_b	beta_alanine_aminotransferase_m0	R00908	map00410|map00640	Amino acid metabolism
